unit,sex,age,region,year,value
YR,M,Y48,PT,1984,26.3
YR,T,Y32,PT,1984,43.5
YR,M,Y26,PT,1984,46.1
YR,F,Y80,PT,1984,6.5
YR,M,Y17,PT,1984,54.3
YR,F,Y4,PT,1984,73.5
YR,M,Y63,PT,1984,14.8
YR,F,Y79,PT,1984,7.0
YR,T,Y17,PT,1984,57.6
YR,F,Y72,PT,1984,11.3
YR,T,Y71,PT,1984,11.0
YR,F,Y_LT1,PT,1984,76.2
YR,T,Y7,PT,1984,67.3
YR,F,Y14,PT,1983,63.6
YR,M,Y52,PT,1983,23.0
YR,T,Y56,PT,1983,22.1
YR,M,Y47,PT,1983,27.1
YR,M,Y44,PT,1983,29.7
YR,F,Y50,PT,1983,29.4
YR,M,Y60,PT,1983,16.9
YR,M,Y48,PT,1983,26.3
YR,T,Y32,PT,1983,43.5
YR,M,Y26,PT,1983,46.1
YR,F,Y80,PT,1983,6.5
YR,M,Y17,PT,1983,54.2
YR,F,Y4,PT,1983,73.4
YR,M,Y63,PT,1983,14.8
YR,F,Y79,PT,1983,7.0
YR,T,Y17,PT,1983,57.5
YR,F,Y72,PT,1983,11.2
YR,T,Y71,PT,1983,11.0
YR,F,Y_LT1,PT,1983,75.8
YR,T,Y7,PT,1983,67.2
YR,F,Y14,PT,1982,63.8
YR,M,Y52,PT,1982,23.2
YR,T,Y56,PT,1982,22.3
YR,M,Y47,PT,1982,27.3
YR,M,Y44,PT,1982,29.9
YR,F,Y50,PT,1982,29.6
YR,M,Y60,PT,1982,17.1
YR,M,Y48,PT,1982,26.5
YR,T,Y32,PT,1982,43.7
YR,M,Y26,PT,1982,46.3
YR,F,Y80,PT,1982,6.8
YR,M,Y17,PT,1982,54.4
YR,F,Y4,PT,1982,73.6
YR,M,Y63,PT,1982,15.0
YR,F,Y79,PT,1982,7.3
YR,T,Y17,PT,1982,57.7
YR,F,Y72,PT,1982,11.4
YR,T,Y71,PT,1982,11.2
YR,F,Y_LT1,PT,1982,76.0
YR,T,Y7,PT,1982,67.4
YR,F,Y14,PT,1981,63.3
YR,M,Y52,PT,1981,22.8
YR,T,Y56,PT,1981,21.8
YR,M,Y47,PT,1981,26.9
YR,M,Y44,PT,1981,29.4
YR,F,Y50,PT,1981,29.1
YR,M,Y60,PT,1981,16.7
YR,M,Y48,PT,1981,26.0
YR,T,Y32,PT,1981,43.1
YR,M,Y26,PT,1981,45.7
YR,F,Y80,PT,1981,6.5
YR,M,Y17,PT,1981,53.7
YR,F,Y4,PT,1981,73.0
YR,M,Y63,PT,1981,14.6
YR,F,Y79,PT,1981,6.9
YR,T,Y17,PT,1981,57.1
YR,F,Y72,PT,1981,11.1
YR,T,Y71,PT,1981,10.9
YR,F,Y_LT1,PT,1981,75.2
YR,T,Y7,PT,1981,66.7
YR,F,Y14,PT,1980,63.1
YR,M,Y52,PT,1980,22.7
YR,T,Y56,PT,1980,21.7
YR,M,Y47,PT,1980,26.8
YR,M,Y44,PT,1980,29.3
YR,F,Y50,PT,1980,28.9
YR,M,Y60,PT,1980,16.6
YR,M,Y48,PT,1980,25.9
YR,T,Y32,PT,1980,43.1
YR,M,Y26,PT,1980,45.7
YR,F,Y80,PT,1980,6.4
YR,M,Y17,PT,1980,53.8
YR,F,Y4,PT,1980,72.9
YR,M,Y63,PT,1980,14.4
YR,F,Y79,PT,1980,6.9
YR,T,Y17,PT,1980,57.1
YR,F,Y72,PT,1980,10.9
YR,T,Y71,PT,1980,10.7
YR,F,Y_LT1,PT,1980,74.9
YR,T,Y7,PT,1980,66.7
YR,F,Y14,PT,1979,63.0
YR,M,Y52,PT,1979,22.7
YR,T,Y56,PT,1979,21.6
YR,M,Y47,PT,1979,26.8
YR,M,Y44,PT,1979,29.4
YR,F,Y50,PT,1979,28.8
YR,M,Y60,PT,1979,16.5
YR,M,Y48,PT,1979,25.9
YR,T,Y32,PT,1979,43.0
YR,M,Y26,PT,1979,45.7
YR,F,Y80,PT,1979,6.1
YR,M,Y17,PT,1979,53.9
YR,F,Y4,PT,1979,72.7
YR,M,Y63,PT,1979,14.3
YR,F,Y79,PT,1979,6.6
YR,T,Y17,PT,1979,57.1
YR,F,Y72,PT,1979,10.7
YR,T,Y71,PT,1979,10.5
YR,F,Y_LT1,PT,1979,74.7
YR,T,Y7,PT,1979,66.7
YR,F,Y14,PT,1978,62.5
YR,M,Y52,PT,1978,22.1
YR,T,Y56,PT,1978,21.1
YR,M,Y47,PT,1978,26.2
YR,M,Y44,PT,1978,28.8
YR,F,Y50,PT,1978,28.3
YR,M,Y60,PT,1978,16.0
YR,M,Y48,PT,1978,25.4
YR,T,Y32,PT,1978,42.4
YR,M,Y26,PT,1978,45.1
YR,F,Y80,PT,1978,5.8
YR,M,Y17,PT,1978,53.2
YR,F,Y4,PT,1978,72.2
YR,M,Y63,PT,1978,13.9
YR,F,Y79,PT,1978,6.3
YR,T,Y17,PT,1978,56.5
YR,F,Y72,PT,1978,10.3
YR,T,Y71,PT,1978,10.1
YR,F,Y_LT1,PT,1978,73.9
YR,T,Y7,PT,1978,66.1
YR,F,Y14,PT,1977,62.3
YR,M,Y52,PT,1977,21.7
YR,T,Y56,PT,1977,20.9
YR,M,Y47,PT,1977,25.8
YR,M,Y44,PT,1977,28.4
YR,F,Y50,PT,1977,28.2
YR,M,Y60,PT,1977,15.7
YR,M,Y48,PT,1977,25.0
YR,T,Y32,PT,1977,42.1
YR,M,Y26,PT,1977,44.6
YR,F,Y80,PT,1977,6.0
YR,M,Y17,PT,1977,52.8
YR,F,Y4,PT,1977,72.0
YR,M,Y63,PT,1977,13.6
YR,F,Y79,PT,1977,6.5
YR,T,Y17,PT,1977,56.2
YR,F,Y72,PT,1977,10.4
YR,T,Y71,PT,1977,10.1
YR,F,Y_LT1,PT,1977,73.7
YR,T,Y7,PT,1977,65.8
YR,F,Y14,PT,1976,61.6
YR,M,Y52,PT,1976,21.2
YR,T,Y56,PT,1976,20.4
YR,M,Y47,PT,1976,25.2
YR,M,Y44,PT,1976,27.7
YR,F,Y50,PT,1976,27.6
YR,M,Y60,PT,1976,15.2
YR,M,Y48,PT,1976,24.4
YR,T,Y32,PT,1976,41.4
YR,M,Y26,PT,1976,43.9
YR,F,Y80,PT,1976,5.7
YR,M,Y17,PT,1976,51.9
YR,F,Y4,PT,1976,71.2
YR,M,Y63,PT,1976,13.2
YR,F,Y79,PT,1976,6.1
YR,T,Y17,PT,1976,55.4
YR,F,Y72,PT,1976,9.9
YR,T,Y71,PT,1976,9.7
YR,F,Y_LT1,PT,1976,72.6
YR,T,Y7,PT,1976,65.0
YR,F,Y14,PT,1975,61.5
YR,M,Y52,PT,1975,21.2
YR,T,Y56,PT,1975,20.4
YR,M,Y47,PT,1975,25.2
YR,M,Y44,PT,1975,27.7
YR,F,Y50,PT,1975,27.5
YR,M,Y60,PT,1975,15.3
YR,M,Y48,PT,1975,24.4
YR,T,Y32,PT,1975,41.3
YR,M,Y26,PT,1975,43.7
YR,F,Y80,PT,1975,5.5
YR,M,Y17,PT,1975,51.8
YR,F,Y4,PT,1975,71.2
YR,M,Y63,PT,1975,13.3
YR,F,Y79,PT,1975,6.0
YR,T,Y17,PT,1975,55.3
YR,F,Y72,PT,1975,9.9
YR,T,Y71,PT,1975,9.7
YR,F,Y_LT1,PT,1975,72.1
YR,T,Y7,PT,1975,64.9
YR,F,Y14,PT,1974,60.8
YR,M,Y52,PT,1974,20.9
YR,T,Y56,PT,1974,19.8
YR,M,Y47,PT,1974,25.0
YR,M,Y44,PT,1974,27.5
YR,F,Y50,PT,1974,26.7
YR,M,Y60,PT,1974,14.9
YR,M,Y48,PT,1974,24.1
YR,T,Y32,PT,1974,40.9
YR,M,Y26,PT,1974,43.6
YR,F,Y80,PT,1974,4.9
YR,M,Y17,PT,1974,51.9
YR,F,Y4,PT,1974,70.4
YR,M,Y63,PT,1974,12.9
YR,F,Y79,PT,1974,5.3
YR,T,Y17,PT,1974,55.0
YR,F,Y72,PT,1974,9.1
YR,T,Y71,PT,1974,9.1
YR,F,Y_LT1,PT,1974,71.4
YR,T,Y7,PT,1974,64.6
YR,F,Y14,PT,1973,60.7
YR,M,Y52,PT,1973,21.2
YR,T,Y56,PT,1973,19.9
YR,M,Y47,PT,1973,25.2
YR,M,Y44,PT,1973,27.7
YR,F,Y50,PT,1973,26.7
YR,M,Y60,PT,1973,15.2
YR,M,Y48,PT,1973,24.4
YR,T,Y32,PT,1973,41.0
YR,M,Y26,PT,1973,43.9
YR,F,Y80,PT,1973,5.1
YR,M,Y17,PT,1973,52.2
YR,F,Y4,PT,1973,70.3
YR,M,Y63,PT,1973,13.1
YR,F,Y79,PT,1973,5.4
YR,T,Y17,PT,1973,55.1
YR,F,Y72,PT,1973,9.1
YR,T,Y71,PT,1973,9.2
YR,F,Y_LT1,PT,1973,70.6
YR,T,Y7,PT,1973,64.7
YR,F,Y14,PT,1972,61.2
YR,M,Y52,PT,1972,21.6
YR,T,Y56,PT,1972,20.3
YR,M,Y47,PT,1972,25.6
YR,M,Y44,PT,1972,28.2
YR,F,Y50,PT,1972,27.1
YR,M,Y60,PT,1972,15.6
YR,M,Y48,PT,1972,24.7
YR,T,Y32,PT,1972,41.5
YR,M,Y26,PT,1972,44.4
YR,F,Y80,PT,1972,5.5
YR,M,Y17,PT,1972,52.7
YR,F,Y4,PT,1972,70.8
YR,M,Y63,PT,1972,13.5
YR,F,Y79,PT,1972,5.9
YR,T,Y17,PT,1972,55.6
YR,F,Y72,PT,1972,9.6
YR,T,Y71,PT,1972,9.7
YR,F,Y_LT1,PT,1972,71.5
YR,T,Y7,PT,1972,65.3
YR,F,Y14,PT,1971,60.6
YR,M,Y52,PT,1971,21.0
YR,T,Y56,PT,1971,19.8
YR,M,Y47,PT,1971,25.1
YR,M,Y44,PT,1971,27.6
YR,F,Y50,PT,1971,26.7
YR,M,Y60,PT,1971,15.1
YR,M,Y48,PT,1971,24.3
YR,T,Y32,PT,1971,40.8
YR,M,Y26,PT,1971,43.7
YR,F,Y80,PT,1971,5.4
YR,M,Y17,PT,1971,52.0
YR,F,Y4,PT,1971,70.2
YR,M,Y63,PT,1971,13.1
YR,F,Y79,PT,1971,5.8
YR,T,Y17,PT,1971,54.9
YR,F,Y72,PT,1971,9.3
YR,T,Y71,PT,1971,9.3
YR,F,Y_LT1,PT,1971,69.7
YR,T,Y7,PT,1971,64.5
YR,F,Y14,PT,1970,61.3
YR,M,Y52,PT,1970,21.6
YR,T,Y56,PT,1970,20.4
YR,M,Y47,PT,1970,25.8
YR,M,Y44,PT,1970,28.3
YR,F,Y50,PT,1970,27.3
YR,M,Y60,PT,1970,15.5
YR,M,Y48,PT,1970,24.9
YR,T,Y32,PT,1970,41.6
YR,M,Y26,PT,1970,44.5
YR,F,Y80,PT,1970,5.7
YR,M,Y17,PT,1970,52.8
YR,F,Y4,PT,1970,70.8
YR,M,Y63,PT,1970,13.4
YR,F,Y79,PT,1970,6.1
YR,T,Y17,PT,1970,55.7
YR,F,Y72,PT,1970,9.7
YR,T,Y71,PT,1970,9.6
YR,F,Y_LT1,PT,1970,69.7
YR,T,Y7,PT,1970,65.3
YR,F,Y14,PT,1969,60.2
YR,M,Y52,PT,1969,20.6
YR,T,Y56,PT,1969,19.4
YR,M,Y47,PT,1969,24.6
YR,M,Y44,PT,1969,27.2
YR,F,Y50,PT,1969,26.3
YR,M,Y60,PT,1969,14.6
YR,M,Y48,PT,1969,23.8
YR,T,Y32,PT,1969,40.4
YR,M,Y26,PT,1969,43.3
YR,F,Y80,PT,1969,5.1
YR,M,Y17,PT,1969,51.6
YR,F,Y4,PT,1969,69.8
YR,M,Y63,PT,1969,12.6
YR,F,Y79,PT,1969,5.6
YR,T,Y17,PT,1969,54.5
YR,F,Y72,PT,1969,9.1
YR,T,Y71,PT,1969,9.0
YR,F,Y_LT1,PT,1969,69.0
YR,T,Y7,PT,1969,64.1
YR,F,Y14,PT,1968,61.0
YR,M,Y52,PT,1968,21.3
YR,T,Y56,PT,1968,20.1
YR,M,Y47,PT,1968,25.5
YR,M,Y44,PT,1968,28.0
YR,F,Y50,PT,1968,27.0
YR,M,Y60,PT,1968,15.3
YR,M,Y48,PT,1968,24.6
YR,T,Y32,PT,1968,41.3
YR,M,Y26,PT,1968,44.1
YR,F,Y80,PT,1968,5.5
YR,M,Y17,PT,1968,52.5
YR,F,Y4,PT,1968,70.5
YR,M,Y63,PT,1968,13.3
YR,F,Y79,PT,1968,5.9
YR,T,Y17,PT,1968,55.4
YR,F,Y72,PT,1968,9.6
YR,T,Y71,PT,1968,9.5
YR,F,Y_LT1,PT,1968,69.4
YR,T,Y7,PT,1968,65.0
YR,F,Y14,PT,1967,60.7
YR,M,Y52,PT,1967,21.1
YR,T,Y56,PT,1967,20.0
YR,M,Y47,PT,1967,25.1
YR,M,Y44,PT,1967,27.7
YR,F,Y50,PT,1967,26.9
YR,M,Y60,PT,1967,15.2
YR,M,Y48,PT,1967,24.3
YR,T,Y32,PT,1967,40.9
YR,M,Y26,PT,1967,43.7
YR,F,Y80,PT,1967,5.5
YR,M,Y17,PT,1967,52.0
YR,F,Y4,PT,1967,70.2
YR,M,Y63,PT,1967,13.1
YR,F,Y79,PT,1967,5.9
YR,T,Y17,PT,1967,55.0
YR,F,Y72,PT,1967,9.6
YR,T,Y71,PT,1967,9.5
YR,F,Y_LT1,PT,1967,69.2
YR,T,Y7,PT,1967,64.6
YR,F,Y14,PT,1966,60.4
YR,M,Y52,PT,1966,20.8
YR,T,Y56,PT,1966,19.7
YR,M,Y47,PT,1966,24.8
YR,M,Y44,PT,1966,27.3
YR,F,Y50,PT,1966,26.6
YR,M,Y60,PT,1966,14.9
YR,M,Y48,PT,1966,23.9
YR,T,Y32,PT,1966,40.6
YR,M,Y26,PT,1966,43.4
YR,F,Y80,PT,1966,5.4
YR,M,Y17,PT,1966,51.8
YR,F,Y4,PT,1966,69.9
YR,M,Y63,PT,1966,12.9
YR,F,Y79,PT,1966,5.8
YR,T,Y17,PT,1966,54.7
YR,F,Y72,PT,1966,9.4
YR,T,Y71,PT,1966,9.3
YR,F,Y_LT1,PT,1966,68.4
YR,T,Y7,PT,1966,64.3
YR,F,Y14,PT,1965,61.0
YR,M,Y52,PT,1965,21.4
YR,T,Y56,PT,1965,20.2
YR,M,Y47,PT,1965,25.4
YR,M,Y44,PT,1965,28.0
YR,F,Y50,PT,1965,27.1
YR,M,Y60,PT,1965,15.4
YR,M,Y48,PT,1965,24.6
YR,T,Y32,PT,1965,41.3
YR,M,Y26,PT,1965,44.1
YR,F,Y80,PT,1965,5.7
YR,M,Y17,PT,1965,52.5
YR,F,Y4,PT,1965,70.4
YR,M,Y63,PT,1965,13.4
YR,F,Y79,PT,1965,6.1
YR,T,Y17,PT,1965,55.4
YR,F,Y72,PT,1965,9.7
YR,T,Y71,PT,1965,9.6
YR,F,Y_LT1,PT,1965,68.9
YR,T,Y7,PT,1965,65.0
YR,F,Y14,PT,1964,60.8
YR,M,Y52,PT,1964,21.5
YR,T,Y56,PT,1964,20.3
YR,M,Y47,PT,1964,25.6
YR,M,Y44,PT,1964,28.1
YR,F,Y50,PT,1964,27.0
YR,M,Y60,PT,1964,15.6
YR,M,Y48,PT,1964,24.8
YR,T,Y32,PT,1964,41.3
YR,M,Y26,PT,1964,44.2
YR,F,Y80,PT,1964,5.7
YR,M,Y17,PT,1964,52.6
YR,F,Y4,PT,1964,70.1
YR,M,Y63,PT,1964,13.5
YR,F,Y79,PT,1964,6.2
YR,T,Y17,PT,1964,55.3
YR,F,Y72,PT,1964,9.8
YR,T,Y71,PT,1964,9.8
YR,F,Y_LT1,PT,1964,67.8
YR,T,Y7,PT,1964,64.8
YR,F,Y14,PT,1963,60.7
YR,M,Y52,PT,1963,21.4
YR,T,Y56,PT,1963,20.2
YR,M,Y47,PT,1963,25.5
YR,M,Y44,PT,1963,28.0
YR,F,Y50,PT,1963,26.9
YR,M,Y60,PT,1963,15.3
YR,M,Y48,PT,1963,24.6
YR,T,Y32,PT,1963,41.2
YR,M,Y26,PT,1963,44.1
YR,F,Y80,PT,1963,5.7
YR,M,Y17,PT,1963,52.5
YR,F,Y4,PT,1963,70.1
YR,M,Y63,PT,1963,13.3
YR,F,Y79,PT,1963,6.1
YR,T,Y17,PT,1963,55.3
YR,F,Y72,PT,1963,9.6
YR,T,Y71,PT,1963,9.6
YR,F,Y_LT1,PT,1963,67.6
YR,T,Y7,PT,1963,64.8
YR,F,Y14,PT,1962,60.9
YR,M,Y52,PT,1962,21.8
YR,T,Y56,PT,1962,20.5
YR,M,Y47,PT,1962,25.8
YR,M,Y44,PT,1962,28.4
YR,F,Y50,PT,1962,27.2
YR,M,Y60,PT,1962,15.8
YR,M,Y48,PT,1962,25.0
YR,T,Y32,PT,1962,41.5
YR,M,Y26,PT,1962,44.4
YR,F,Y80,PT,1962,6.0
YR,M,Y17,PT,1962,52.7
YR,F,Y4,PT,1962,70.2
YR,M,Y63,PT,1962,13.7
YR,F,Y79,PT,1962,6.5
YR,T,Y17,PT,1962,55.5
YR,F,Y72,PT,1962,10.0
YR,T,Y71,PT,1962,10.0
YR,F,Y_LT1,PT,1962,67.0
YR,T,Y7,PT,1962,65.0
YR,F,Y14,PT,1961,60.7
YR,M,Y52,PT,1961,21.8
YR,T,Y56,PT,1961,20.5
YR,M,Y47,PT,1961,25.9
YR,M,Y44,PT,1961,28.5
YR,F,Y50,PT,1961,27.1
YR,M,Y60,PT,1961,15.8
YR,M,Y48,PT,1961,25.1
YR,T,Y32,PT,1961,41.4
YR,M,Y26,PT,1961,44.5
YR,F,Y80,PT,1961,6.1
YR,M,Y17,PT,1961,52.8
YR,F,Y4,PT,1961,70.0
YR,M,Y63,PT,1961,13.8
YR,F,Y79,PT,1961,6.5
YR,T,Y17,PT,1961,55.4
YR,F,Y72,PT,1961,9.9
YR,T,Y71,PT,1961,10.0
YR,F,Y_LT1,PT,1961,65.4
YR,T,Y7,PT,1961,64.9
YR,F,Y14,PT,1960,60.5
YR,M,Y52,PT,1960,21.6
YR,T,Y56,PT,1960,20.3
YR,M,Y47,PT,1960,25.7
YR,M,Y44,PT,1960,28.3
YR,F,Y50,PT,1960,26.9
YR,M,Y60,PT,1960,15.6
YR,M,Y48,PT,1960,24.9
YR,T,Y32,PT,1960,41.2
YR,M,Y26,PT,1960,44.3
YR,F,Y80,PT,1960,5.7
YR,M,Y17,PT,1960,52.6
YR,F,Y4,PT,1960,69.9
YR,M,Y63,PT,1960,13.6
YR,F,Y79,PT,1960,6.2
YR,T,Y17,PT,1960,55.2
YR,F,Y72,PT,1960,9.8
YR,T,Y71,PT,1960,9.8
YR,F,Y_LT1,PT,1960,66.7
YR,T,Y7,PT,1960,64.8
